load_0,load_1,load_2,load_3,load_4,load_5,load_6,load_7,load_8,load_9,load_10,load_11,load_12,load_13,load_14,load_15,load_16,load_17,load_18,load_19,gen_0,gen_1,gen_2,gen_3,gen_4,ext_grid_0
(23.169954810697924+13.329512078021866j),(2.1962187162855007+1.2754714816244033j),(8.234196301899845+1.5552470961009903j),(20.555751491003285+10.414829910190988j),(29.54696734030394+28.012719687337526j),(5.798028895754085+2.011097490325717j),(12.093479113844676+7.411049994985825j),(6.119461643911045+1.6835180034089103j),(8.2071315740455+2.2765520946993645j),(3.1512472727597682+1.6749456621443024j),(9.846648749337877+5.640072839445746j),(3.495465450038055+0.9704025867394565j),(10.28677983644841+3.2997594544892257j),(2.1792645272789306+0.7618885929332002j),(16.341092296164828+12.22429967149292j),(3.4399598024068845+1.525109229746119j),(9.473379195012855+6.738362425233222j),(3.748531401733665+2.15013675964391j),(2.4700388734602354+0.8322086949122122j),(10.203149164109233+1.773253063286122j),(58.0268990212733+17.64394017735737j),(23.17209563060298+32.4848631122896j),(33.486333430423244+19.511912897899915j),(17.123356914298114+7.234966867384929j),(17.617072480907094+33.155037648929586j),(43.73481076753843-9.22827354280238j)
(22.313941449449768+11.934784959720883j),(2.3932808338074625+1.1714214580813445j),(7.189603499448992+1.6678186194395233j),(25.054882085486028+10.672492381532235j),(27.528924940661955+27.230091530197992j),(6.211350351788573+2.0089428258121877j),(11.663374070124313+8.052261203934167j),(6.66210536925247+1.712125210116614j),(8.636832530822772+2.7268752791659634j),(3.690521812096928+1.872805379631656j),(9.537029388453472+5.8097842381471745j),(3.206155355737564+0.9404892282804055j),(9.19762954777583+3.5271823311241914j),(2.3516634509093297+0.706534202838933j),(16.27515422901116+11.148605945121384j),(3.3429977067699896+1.465184060296556j),(9.221921473270807+6.085362792348347j),(3.6978186919396023+2.1551659789436886j),(2.492445535019044+0.8786753866847763j),(10.743196138725937+1.9390316395857663j),(58.29392471369199+17.56753218965404j),(23.232839284903694+31.06637678338036j),(33.54091961924762+18.300756207027707j),(17.23274875602866+7.105977232725213j),(17.796555501866735+33.8732004090218j),(43.959385631679375-8.932539686560956j)
(21.992322867286042+11.857161352728127j),(2.26866207726676+1.3154586830106862j),(8.222768592467503+1.627211976951356j),(21.32205410479789+10.474951621822273j),(28.280737307065177+30.954636169529163j),(5.494265694099781+1.8112679120961472j),(10.830279338858368+7.9860694131000995j),(5.712205915848491+1.6689962059346488j),(8.242356737296145+2.7185731099306287j),(3.308682180436956+1.850271837573398j),(8.936232123677726+5.261609883743388j),(3.0319312205939037+0.8603530275556043j),(9.730847433346392+3.5372945264151303j),(2.119493247487548+0.7293220972870114j),(16.907971824349953+11.371704237918733j),(3.282594748559371+1.682070828310905j),(9.262800382641805+6.2283556276203065j),(3.1529890129563727+2.355638506523123j),(2.570611628483227+0.9528581420241462j),(10.379196767147615+1.7302873479731364j),(55.145919334947095+3.854565817053084j),(22.523954608784674+32.10217478262243j),(37.04443811163556+27.959105423508007j),(15.787167375368075+6.895888123768602j),(15.774928507771257+33.984149313546j),(41.35919399509078-1.913430986926881j)
(21.70788711404509+12.924138574191687j),(2.2056112283601235+1.3037316298603228j),(8.115514082085614+1.75027671409296j),(24.730934613992694+11.33465236502992j),(31.05875143534803+27.261893473050872j),(5.538022986730012+1.9532537560208647j),(11.760109026294307+7.769838728282993j),(5.96678140330997+1.4703609125112667j),(7.52240127456182+2.6102218477203074j),(3.7057240940332976+1.9016349223175784j),(9.865603862200416+6.001545526764079j),(3.2213740662987833+0.891639781579546j),(9.510416159043723+3.3860147950640473j),(2.014723200354947+0.7196816248848074j),(17.08488076624818+11.669968771905564j),(2.9808307960836222+1.7046000362555322j),(8.014931968993649+7.158607207256034j),(3.773902518845293+2.147546701589394j),(2.3792810230584176+0.981291014444459j),(10.650472224622208+1.7805049728094229j),(57.7979674431039+13.415372173252369j),(23.161610312503957+33.282808667214425j),(35.534527339903235+24.809261287595096j),(16.971796624458083+7.543084297892421j),(17.51596148387194+34.91975015664348j),(43.53837111844243-11.223759651180059j)
(22.097823787295884+12.952967787368356j),(2.5742938751887934+1.194596463120284j),(7.8369531258972245+1.675432688741628j),(23.860851521139505+11.78560546665314j),(30.55308671768653+27.322702738858798j),(5.531414320659534+1.8213009721523008j),(10.619775320293632+7.77250013619209j),(6.434121411610294+1.7246997257750794j),(8.320584044632122+2.4145456362355793j),(3.1553022306602188+1.6246858909310056j),(9.68115341619616+5.355432890751057j),(3.375213656799857+0.8388716830207259j),(9.088415019764472+3.2489481796548434j),(2.394417607402546+0.7258375664279534j),(17.467096891084502+11.718256111410168j),(3.460811725858305+1.6033678604992385j),(9.2855547147052+7.110840522926433j),(3.476686587742508+2.155086153019937j),(2.1974863087986938+0.9586159916796573j),(11.408304114387022+1.978869000818353j),(58.21504544272963+15.764326377048382j),(23.273929362446857+32.348380979796296j),(35.085021046287494+22.377907827812006j),(17.300866489355833+7.406185830847217j),(17.755985644373887+34.16017340953718j),(43.89488680235912-10.335281949749156j)
(22.34255186780726+11.7901735139803j),(2.387806117113327+1.2200284562620858j),(6.911534429041741+1.6033222491715546j),(21.32335106872943+10.661942130313802j),(28.260349788923325+29.089024571839257j),(5.846168957072155+2.1523012613534074j),(10.976802542485911+7.483167442616324j),(6.6574689444055055+1.7545252920671743j),(7.800672418898803+2.403625592997283j),(3.1543429567939976+1.6351378494800595j),(9.421190868223231+5.246427001579842j),(3.0589627007431823+0.9828040741976336j),(8.878893279173651+3.2435512398379327j),(2.077368547885051+0.6398430093365187j),(17.560697863243533+12.01063380260213j),(3.059466521529657+1.6040242617912206j),(8.73625317522716+6.036352836956573j),(3.3800987716960464+2.1337103100095742j),(2.3717771760240542+0.9082858868405633j),(10.532815363236743+1.8657990456164446j),(56.97796986838964+16.600520705375597j),(22.855202871374253+31.86197487903733j),(31.46791453242884+19.315218761036242j),(16.290819348834955+7.007021400746902j),(16.784089594261683+33.245526731089946j),(42.84189623302658-8.72889921300968j)
(20.564768935178154+13.88142142899902j),(2.2070410833389222+1.1976709425128327j),(8.067446359628953+1.5270099664280257j),(22.045574932138308+10.956511570956229j),(29.20499553481274+31.99736091018831j),(5.440211300168826+2.142717382068642j),(10.105706778774973+7.405727425484466j),(6.704982510843805+1.5571583649211478j),(8.916054465033325+2.382343648460325j),(3.823778432865199+1.8927469290540775j),(9.877668625728141+6.1271078727157215j),(3.0843521096638695+0.8767471538560911j),(8.903023566560263+3.1154192439973283j),(2.418034076893654+0.7311835847494145j),(18.787929790798124+11.016211412732877j),(3.14864052718372+1.6456774619460686j),(9.107498869681244+6.1621392050039265j),(3.7863279308891435+2.458199513055318j),(2.1851879694550695+0.9125935640766258j),(10.241612684963615+1.872306255548878j),(40.15373219730326-20.00000019243221j),(24.369436696885874+25.54486277565368j),(47.59079651439993+26.59824720127188j),(24.701450487264015+12.321989073947472j),(24.396695353149983+44.70000044854855j),(30.082999777208126+18.64599783537895j)
(19.985949459531493+12.987860093173673j),(2.3094606309115724+1.157394644017668j),(7.245358442269439+1.662074368582404j),(23.740811571412554+11.78416644184402j),(32.66649019392766+28.387020382672876j),(6.123084277592357+2.135884260258976j),(11.2942680520717+6.947232697966309j),(6.104383279382551+1.5094243122622637j),(7.975885816499334+2.3512190335324923j),(3.5484671055440096+1.7605564606875237j),(8.223538014041338+5.968161089134727j),(3.307016338890796+0.9039117884961246j),(9.885941865499559+3.61696140902466j),(2.4161367490215904+0.7465840875033819j),(16.23722531509904+10.4643494530664j),(3.0828848687598622+1.6271655462959622j),(8.152899829535514+6.653440147657595j),(3.2161073859943374+2.4619526793755067j),(2.4531475937750615+0.8524052368571265j),(11.401036572706353+1.7880594881165353j),(46.37937561572709-20.000000139791712j),(23.562675227038643+32.40116032451503j),(49.57939999985432+25.588559690120164j),(22.435878505778916+7.621897447539839j),(15.906111662139608+44.700000395521535j),(34.382859892525204+13.844325363520133j)
(20.87069938104063+11.611315428733727j),(2.2038313915411463+1.190484463539652j),(7.839084480388992+1.62586647553883j),(22.10068716821014+10.882286851698746j),(29.727533592235055+29.334011840404713j),(5.59436780122101+2.1613063556298795j),(11.480167336243754+7.848630663993635j),(6.7701884795015514+1.7573642785210202j),(7.806895041477904+2.679646891538487j),(3.541363671250253+1.8065194202288626j),(9.362687359154947+5.986950093744931j),(3.067911379463979+0.9656396615579795j),(10.342647050755758+3.7343996810174453j),(2.228191115498425+0.7282148990087641j),(18.59577754895957+10.103574351971957j),(3.160121952628483+1.7042994500638877j),(8.69083083728973+6.42697099902921j),(3.5207169781266363+2.504592345377326j),(2.3232994510273723+0.9164512622433427j),(10.729608779828439+1.7888971744643096j),(56.53096016614004+7.137943241895097j),(22.932982275521216+32.17250368877468j),(37.389461286358085+27.115140627416366j),(16.57332208068124+7.254166559718685j),(16.78075426256332+35.396265097592696j),(42.511709236373136-6.773690618951734j)
(22.634574734757635+13.0987425762207j),(2.494084947342657+1.0913146614761873j),(7.860819911710387+1.5558669810233487j),(24.907045432604612+11.400372397416216j),(32.71975102334498+29.783966947525236j),(5.42078215572904+1.907440530872958j),(11.279165179056067+7.999286501599248j),(5.773256448622186+1.6245819567794968j),(8.528260710298616+2.4419533303222996j),(3.494820683834512+1.6535555734603085j),(8.327647685054458+5.520350026613235j),(2.885096177841508+0.8250764425107133j),(9.154520535057747+3.3520263162872794j),(2.0334761920665847+0.7604551797797102j),(15.82777251319334+10.157113592909836j),(3.0255569381125467+1.7514796996916453j),(7.986617061464312+7.145825381393267j),(3.3056427511519724+2.489989345605266j),(2.2670804743822703+0.8503877475693966j),(9.96544175699366+1.901756844330602j),(29.46346688646253-20.00000019848607j),(25.604076845700394+25.55532577057311j),(54.47379285849953+25.836705566422328j),(24.672970821862762+11.473708852729624j),(36.44943682190915+44.70000045312799j),(21.758756372594156+19.01500139130275j)
